1,BJJ Advanced,Juniao ,2020-09-04,"Closed guard. Move to triangle. Opp is throwing punches - bring knees to chest and trap one of his arms, then block the other arm with forearm and control wrist. Bring knee and foot through, adjust and finish triangle. TURTLE. Lying down, opp is across my back. Get head through his legs, look up and posture up, then lift one leg and drop the other one, finishing in closed guard or mount if poss. "
1,No Gi,Bruno,2020-09-05,"Self defence from the ground. Keep legs inbetween me and opp. If opp is going for a kick, adjust so that my technical stand up blocks his kicking leg. Push with free leg, swing it back and stand up. Second drill; closed guard cross choke. Strong hand in deep is the MOST IMPORTANT THING. Once this hand is in, options open. If I am struggling to get a grip with the second hand, I can shift hips to a side and reach over to grab the gi and finish. "
1,BJJ Advanced,Juniao ,2020-09-06,"Triangle. Entry, controlling one sleeve, pop legs over. Alternatively, control both sleeves and weave knee over opp's head. The inside of my knee must be on his neck. Then, hold shin, adjust and finish. If opp postures up, go for the arm bar."
1,BJJ All Levels,Bruno,2020-09-08,"Cross choke from closed guard. If opp is framing well and keeping my chest on the ground, I want to lift my hips up and shoot them to one side. Lifting is very important. This was I can get a deeper grip inside his collar with my dominant hand and tighten up the choke. Details, snap opp's collar into my grip if possible to make the grip tighter. "
1,BJJ Intermediate,Charles,2020-09-11,"1. Wrist lock. Opp pushes me, I grab his tricep/behind elbow, pull towards me and bow my head down on his inside. 2. Americana from mount. Get into high mount, get his top arm and with both my arms straight, lead my weight down to isolate it. Then while pinning his wrist, weave my forearm through. Accelerate motorbike handle, bring elbow towards his side and lift the elbow. 3. Alternatively, if his striaghtens his arm and bridges away, go for the armbar."
1,BJJ Intermediate,Bruno,2020-09-12,"Half guard to mount. In opp's half guard. Pry his legs open by driving my hips forward, then pass over his high knee. Underhook his head and pry his arm up towards his head, opening up a side of the torso so I can bring leg through and pass, finishing in mount."
1,No Gi,Charles,2020-09-13,"Guard pass. Get underhook under a leg while maintaining posture, then drive forward and grip across opp's neck, holding the collar. Then shift hips to the side and slide past his legs. "
1,BJJ Advanced,Kywan,2020-09-14,"Sweep from closed guard. Go for cross choke, deep grip. If opp blocks the second arm, control one of his, pulling it with my elbow back. Step on this side, tilt my hips, and bring my knee across his chest and sweep."
1,BJJ All Levels,Juniao ,2020-09-15,"Arm bar from closed guard. Grip opp's wrist to my chest, weave my arm under the other one and trap his elbow down, then make cross collar grip with hand that was holding the wrist. Push away on his hip (same side as trapped elbow), shift perpendicular to him and lock his back with my legs. Get my leg over his neck, squeeze knees together and arm bar. "
1,BJJ Fundamentals,Juniao ,2020-09-17,"Knee on belly. From side control, tuck thumb into opps collar and grip his outside hip, pushing down jump up, knee across solar plexus. Leg closer to his hips goes across, other leg posts out. If he rolls, take his arm and arm bar. Then to get into mount, slip foot across when he bridges. "
